episode,timestep,reward
1471,147200,246.0
1473,147400,244.5
1475,147600,151.5
1477,147800,196.5
1479,148000,227.5
1481,148200,236.0
1483,148400,267.5
1485,148600,258.5
1487,148800,273.0
1489,149000,202.0
1491,149200,272.0
1493,149400,271.0
1495,149600,231.0
1497,149800,277.0
1499,150000,215.0
1501,150200,215.5
1503,150400,281.0
1505,150600,238.0
1507,150800,229.5
1509,151000,197.0
1511,151200,269.5
1513,151400,259.0
1515,151600,163.5
1517,151800,248.0
1519,152000,200.5
1521,152200,218.0
1523,152400,229.5
1525,152600,250.5
1527,152800,131.5
1529,153000,201.0
1531,153200,170.5
1533,153400,154.5
1535,153600,165.5
1537,153800,165.5
1539,154000,199.0
1541,154200,240.0
1543,154400,337.0
1545,154600,223.5
1547,154800,260.5
1549,155000,217.5
1551,155200,149.5
1553,155400,211.0
1555,155600,216.5
1557,155800,227.0
1559,156000,245.0
1561,156200,201.5
1563,156400,200.0
1565,156600,128.5
1567,156800,277.5
1569,157000,319.5
1571,157200,254.5
1573,157400,168.0
1575,157600,142.5
1577,157800,144.5
1579,158000,192.0
1581,158200,289.0
1583,158400,179.0
1585,158600,278.0
1587,158800,194.5
1589,159000,289.5
1591,159200,160.0
1593,159400,173.5
1595,159600,186.0
1597,159800,220.5
1599,160000,290.5
1601,160200,173.5
1603,160400,243.5
1605,160600,227.0
1607,160800,220.0
1609,161000,184.5
1611,161200,154.5
1613,161400,296.5
1615,161600,197.0
1617,161800,276.0
1619,162000,281.5
1621,162200,207.5
1623,162400,170.0
1625,162600,168.5
1627,162800,207.0
1629,163000,215.5
1631,163200,182.5
1633,163400,229.0
1635,163600,161.0
1637,163800,139.0
1639,164000,203.5
1641,164200,222.5
1643,164400,242.0
1645,164600,196.0
1647,164800,279.5
1649,165000,256.5
1651,165200,189.0
1653,165400,296.5
1655,165600,177.0
1657,165800,163.5
1659,166000,190.5
1661,166200,265.0
1663,166400,295.0
1665,166600,248.0
1667,166800,204.5
1669,167000,213.0
1671,167200,233.5
1673,167400,236.5
1675,167600,226.0
1677,167800,172.0
1679,168000,209.5
1681,168200,125.5
1683,168400,132.0
1685,168600,259.0
1687,168800,177.0
1689,169000,149.0
1691,169200,233.5
1693,169400,248.0
1695,169600,195.5
1697,169800,144.5
1699,170000,251.5
1701,170200,235.5
1703,170400,223.5
1705,170600,259.0
1707,170800,150.5
1709,171000,260.5
1711,171200,196.0
1713,171400,247.5
1715,171600,196.0
1717,171800,189.5
1719,172000,228.5
1721,172200,296.5
1723,172400,234.0
1725,172600,289.0
1727,172800,192.0
1729,173000,207.5
1731,173200,205.5
1733,173400,206.5
1735,173600,169.0
1737,173800,192.5
1739,174000,196.0
1741,174200,162.0
1743,174400,231.0
1745,174600,197.0
1747,174800,266.0
1749,175000,178.5
1751,175200,240.0
1753,175400,210.5
1755,175600,220.5
1757,175800,181.0
1759,176000,174.5
1761,176200,207.5
1763,176400,190.0
1765,176600,227.5
1767,176800,217.5
1769,177000,274.0
1771,177200,191.0
1773,177400,225.5
1775,177600,210.5
1777,177800,338.5
1779,178000,208.0
1781,178200,224.5
1783,178400,206.5
1785,178600,198.0
1787,178800,191.0
1789,179000,211.5
1791,179200,250.0
1793,179400,206.5
1795,179600,239.0
1797,179800,173.5
1799,180000,153.5
1801,180200,171.0
1803,180400,281.0
1805,180600,211.0
1807,180800,167.5
1809,181000,232.0
1811,181200,211.0
1813,181400,240.0
1815,181600,232.0
1817,181800,183.5
1819,182000,236.0
1821,182200,191.0
1823,182400,133.0
1825,182600,172.0
1827,182800,234.0
1829,183000,256.5
1831,183200,223.0
1833,183400,208.0
1835,183600,221.5
1837,183800,179.0
1839,184000,246.0
1841,184200,159.5
1843,184400,256.0
1845,184600,121.5
1847,184800,224.0
1849,185000,203.5
1851,185200,132.5
1853,185400,260.5
1855,185600,150.0
1857,185800,255.0
1859,186000,234.0
1861,186200,253.0
1863,186400,244.0
1865,186600,217.0
1867,186800,145.5
1869,187000,155.5
1871,187200,135.0
1873,187400,150.5
1875,187600,217.5
1877,187800,218.5
1879,188000,233.0
1881,188200,149.0
1883,188400,191.5
1885,188600,189.5
1887,188800,206.5
1889,189000,212.5
1891,189200,196.5
1893,189400,157.5
1895,189600,146.5
1897,189800,203.5
1899,190000,192.5
1901,190200,309.0
1903,190400,223.0
1905,190600,202.0
1907,190800,164.0
1909,191000,178.5
1911,191200,192.5
1913,191400,173.0
1915,191600,176.5
1917,191800,211.0
1919,192000,188.5
1921,192200,187.0
1923,192400,244.0
1925,192600,221.0
1927,192800,246.0
1929,193000,183.0
1931,193200,120.0
1933,193400,194.5
1935,193600,241.0
1937,193800,180.5
1939,194000,178.5
1941,194200,126.0
1943,194400,162.5
1945,194600,188.5
1947,194800,227.5
1949,195000,99.5
1951,195200,227.5
1953,195400,194.0
1955,195600,187.5
1957,195800,210.0
1959,196000,99.0
1961,196200,184.0
1963,196400,138.5
1965,196600,209.5
1967,196800,240.0
1969,197000,215.0
1971,197200,218.0
1973,197400,123.0
1975,197600,132.0
1977,197800,208.0
1979,198000,167.5
1981,198200,236.0
1983,198400,289.5
1985,198600,172.5
1987,198800,164.5
1989,199000,153.0
1991,199200,174.0
1993,199400,186.5
1995,199600,228.0
1997,199800,200.5
1999,200000,241.0
2001,200200,132.5
2003,200400,138.0
2005,200600,186.0
2007,200800,165.0
2009,201000,242.0
2011,201200,226.0
2013,201400,266.5
2015,201600,274.0
2017,201800,199.5
2019,202000,255.0
2021,202200,193.5
2023,202400,104.0
2025,202600,229.5
2027,202800,148.5
2029,203000,217.0
2031,203200,205.5
2033,203400,135.5
2035,203600,217.0
2037,203800,214.5
2039,204000,217.0
2041,204200,192.5
2043,204400,213.0
2045,204600,204.0
2047,204800,156.5
2049,205000,212.5
2051,205200,258.0
2053,205400,215.5
